id,rtti_name,short_name,vtable_rva
545,WeaponGroupActivatedEvent,weapongroupactivated,0x2b448c8
546,WeaponGroupChangedEvent,weapongroupchanged,0x2a86b30
547,WeaponGroupDeactivatedEvent,weapongroupdeactivated,0x2b44890
548,WeaponOverheatedEvent,weaponoverheated,0x2b26c90
549,WeaponShootTargetRemovedEvent,weaponshoottargetremoved,0x2b42670
550,WeaponShootTargetSetEvent,weaponshoottargetset,0x2b427c0
551,WeaponStartedAimingEvent,weaponstartedaiming,0x2b426e0
552,WeaponStartedShootingEvent,weaponstartedshooting,0x2b42590
553,WeaponStoppedAimingEvent,weaponstoppedaiming,0x2b425c8
554,WeaponStoppedShootingEvent,weaponstoppedshooting,0x2b42638
555,ZoneAddedEvent,zoneadded,0x2b44580
556,ZoneRemovedEvent,zoneremoved,0x2b44548
